customer_id,default_probability
2,0.23791005871576779
3,0.13406125213327938
4,0.921347882793631
5,0.1376729982793321
9,0.5525971576805971
10,0.4821794407516528
16,0.3987351018460224
34,0.3884791233428491
36,0.1826484492037418
38,0.1514812834097356
40,0.5071341312304295
46,0.20546111531057354
53,0.13406125213327938
54,0.33758343626914195
55,0.09075640231141238
60,0.8321757317909465
64,0.7046793934888999
66,0.044591413765510755
74,0.7659096244114011
77,0.34004514767337335
94,0.6481329452134486
98,0.031076169090366878
114,0.3038106740712315
116,0.2713393490316408
117,0.5590027436415589
119,0.15927215552614515
125,0.7301100984958467
126,0.7898322759490509
127,0.7817518473208622
130,0.4984803678412181
133,0.7046793934888999
137,0.5798918812460315
143,0.26403268947835123
145,0.290490762281204
146,0.7343553226654281
148,0.39183515179580486
153,0.34999120390823435
154,0.08046462481964296
160,0.03959392116659731
161,0.2428822453835338
164,0.5391733985405806
171,0.4699376596045943
186,0.472249992578042
189,0.23791005871576779
190,0.4044739569503912
197,0.34471179389587286
200,0.09690846146730754
201,0.3788927113805297
202,0.4499104969342738
206,0.4600557201710462
215,0.051514636622482436
223,0.06036110636825282
224,0.4856847653080778
225,0.6389831480240308
232,0.19462455219918579
235,0.864510685934881
236,0.08732250123111676
241,0.2511351175519032
242,0.6528313973243062
244,0.25983498283103856
249,0.5067733550370659
253,0.1950003157589007
255,0.4372376466266399
260,0.22363362943852988
262,0.5190851846498252
271,0.5691414066973763
280,0.581697344461106
285,0.6472701336622735
294,0.702766862200862
301,0.07046786650409373
302,0.12851743520587783
310,0.5772715796467859
317,0.4868482319720748
320,0.4161804806210396
327,0.4600557201710462
329,0.6481329452134486
335,0.21093363157117345
337,0.581046533052526
338,0.25735136504477657
341,0.8313045489823545
345,0.5895773753073276
357,0.09385340622978064
362,0.1613069783221389
364,0.504304385890214
375,0.2954403808495942
379,0.7662661866983991
384,0.10306991351944048
385,0.5138544284506621
388,0.31452222731953794
390,0.5498381080848673
391,0.11864603123108368
395,0.312036580699957
